,year,state,demRatio
1859,1996,MISSISSIPPI,0.4408110022072882
1864,1996,MISSOURI,0.4753957827961623
1872,1996,MONTANA,0.41250064483164367
1877,1996,NEBRASKA,0.34950658016134867
1882,1996,NEVADA,0.43933496884416484
1890,1996,NEW HAMPSHIRE,0.4957057734944029
1895,1996,NEW JERSEY,0.5372029286118354
1898,1996,NEW MEXICO,0.4918320223567367
1905,1996,NEW YORK,0.5667893903041855
1919,1996,NORTH CAROLINA,0.4403553213740164
1925,1996,NORTH DAKOTA,0.4012784757386144
1930,1996,OHIO,0.4737574744720069
1940,1996,OKLAHOMA,0.40449137450247075
1943,1996,OREGON,0.4715197131575891
1952,1996,PENNSYLVANIA,0.492261247677619
1958,1996,RHODE ISLAND,0.5971858848370392
1967,1996,SOUTH CAROLINA,0.44006252923450373
1973,1996,SOUTH DAKOTA,0.43027119502448846
1976,1996,TENNESSEE,0.4799871179264085
1981,1996,TEXAS,0.43831771937065145
1988,1996,UTAH,0.3329677643251721
2000,1996,VERMONT,0.5335443356329489
2012,1996,VIRGINIA,0.45147771163457395
2017,1996,WASHINGTON,0.49840472048333573
2026,1996,WEST VIRGINIA,0.515055958042859
2030,1996,WISCONSIN,0.48810952162606797
2038,1996,WYOMING,0.3683586124752447
2043,2000,ALABAMA,0.4156650294789806
2048,2000,ALASKA,0.27666339823504693
2056,2000,ARIZONA,0.4473458501738885
2063,2000,ARKANSAS,0.4586425626043496
2069,2000,CALIFORNIA,0.5344973682775446
2077,2000,COLORADO,0.4239350901130605
2086,2000,CONNECTICUT,0.5590962813244035
2093,2000,DELAWARE,0.5497772716309091
2100,2000,DISTRICT OF COLUMBIA,0.8515508137933767
2107,2000,FLORIDA,0.48837821204036147
2118,2000,GEORGIA,0.4321099965624139
2121,2000,HAWAII,0.5579166791230354
2129,2000,IDAHO,0.27638128843834414
2135,2000,ILLINOIS,0.545965212095549
2143,2000,INDIANA,0.4101210293083897
2147,2000,IOWA,0.4719191557860848
2159,2000,KANSAS,0.3723839226424526
2165,2000,KENTUCKY,0.4137818258591055
2173,2000,LOUISIANA,0.44875332454339917
2180,2000,MAINE,0.4908601647394898
2187,2000,MARYLAND,0.5648830838450493
2195,2000,MASSACHUSETTS,0.5912612602067913
2203,2000,MICHIGAN,0.5127979887069135
2210,2000,MINNESOTA,0.479055720603522
2220,2000,MISSISSIPPI,0.40698100150475164
2227,2000,MISSOURI,0.47084273348102373
2234,2000,MONTANA,0.3336512679264014
2241,2000,NEBRASKA,0.33253039013283714
2247,2000,NEVADA,0.4594126276200884
2257,2000,NEW HAMPSHIRE,0.46803179160787306
2263,2000,NEW JERSEY,0.5612560891508792
2266,2000,NEW MEXICO,0.47908554054844177
2273,2000,NEW YORK,0.566392704823055
2288,2000,NORTH CAROLINA,0.43145671168683253
2293,2000,NORTH DAKOTA,0.3305533969804618
2298,2000,OHIO,0.46440428090356484
2303,2000,OKLAHOMA,0.38426904569573395
2306,2000,OREGON,0.46959940024120733
2314,2000,PENNSYLVANIA,0.5060817131276611
2320,2000,RHODE ISLAND,0.6098770018967911
2332,2000,SOUTH CAROLINA,0.40901523373764903
2339,2000,SOUTH DAKOTA,0.37564225390411327
2344,2000,TENNESSEE,0.4728489471775341
2348,2000,TEXAS,0.37981958091571044
2354,2000,UTAH,0.26344722181136915
2363,2000,VERMONT,0.5063470921619528
2375,2000,VIRGINIA,0.4443561054475593
2381,2000,WASHINGTON,0.5015821531675426
2392,2000,WEST VIRGINIA,0.4559266436669526
2398,2000,WISCONSIN,0.47832819660687437
2406,2000,WYOMING,0.282983820405566
2412,2004,ALABAMA,0.36844402322377173
2416,2004,ALASKA,0.35516861912104364
2423,2004,ARIZONA,0.44396832928795554
2427,2004,ARKANSAS,0.44547630445189085
2432,2004,CALIFORNIA,0.5430555753467436
2440,2004,COLORADO,0.47037842254288303
2451,2004,CONNECTICUT,0.543137089719902
2458,2004,DELAWARE,0.5334683760228152
2465,2004,DISTRICT OF COLUMBIA,0.8918386895503239
2473,2004,FLORIDA,0.4709111002771423
2481,2004,GEORGIA,0.41374946053378764
2484,2004,HAWAII,0.5400955215809311
2489,2004,IDAHO,0.3026491704212736
2493,2004,ILLINOIS,0.5482316020902781
2498,2004,INDIANA,0.39262974665336575
2502,2004,IOWA,0.4923313168421695
2510,2004,KANSAS,0.3662309430556444
2516,2004,KENTUCKY,0.39687072981409693
2522,2004,LOUISIANA,0.4221586470321228
2530,2004,MAINE,0.5357285569259347
2537,2004,MARYLAND,0.5597146761355201
2544,2004,MARYLAND,2.9359485084962155e-06
2545,2004,MASSACHUSETTS,0.616166602048537
2552,2004,MICHIGAN,0.5123070672905647
2559,2004,MINNESOTA,0.5108968468600654
