,candidate,state,spending,year
95,"Trump, Donald J.",Oregon,242283.58,2016
96,"Trump, Donald J.",Pennsylvania,1586013.35,2016
98,"Trump, Donald J.",Rhode Island,102694.64,2016
99,"Trump, Donald J.",South Carolina,1441468.58,2016
100,"Trump, Donald J.",South Dakota,19498.55,2016
101,"Trump, Donald J.",Tennessee,992710.9400000001,2016
102,"Trump, Donald J.",Texas,97271455.01,2016
103,"Trump, Donald J.",Utah,399495.17,2016
104,"Trump, Donald J.",Virginia,110657185.24,2016
106,"Trump, Donald J.",Vermont,81467.59,2016
107,"Trump, Donald J.",Washington,1087024.67,2016
108,"Trump, Donald J.",Wisconsin,964820.58,2016
109,"Trump, Donald J.",West Virginia,91403.33,2016
110,"Trump, Donald J.",Wyoming,150833.0,2016
0,"Biden, Joseph R Jr",Alaska,15301.5,2020
1,"Biden, Joseph R Jr",Alabama,1658810.99,2020
2,"Biden, Joseph R Jr",Arkansas,216567.06,2020
4,"Biden, Joseph R Jr",Arizona,668031.85,2020
5,"Biden, Joseph R Jr",California,66818375.85,2020
6,"Biden, Joseph R Jr",Colorado,668041.28,2020
7,"Biden, Joseph R Jr",Connecticut,430018.57,2020
8,"Biden, Joseph R Jr",District of Columbia,263845275.51,2020
9,"Biden, Joseph R Jr",Delaware,2469029.93,2020
10,"Biden, Joseph R Jr",Florida,4321911.25,2020
11,"Biden, Joseph R Jr",Georgia,449489624.19,2020
12,"Biden, Joseph R Jr",Hawaii,5046.73,2020
13,"Biden, Joseph R Jr",Iowa,7531029.79,2020
14,"Biden, Joseph R Jr",Idaho,17302.51,2020
15,"Biden, Joseph R Jr",Illinois,6854206.24,2020
16,"Biden, Joseph R Jr",Indiana,958746.14,2020
17,"Biden, Joseph R Jr",Kansas,15300.0,2020
18,"Biden, Joseph R Jr",Kentucky,14833.32,2020
19,"Biden, Joseph R Jr",Louisiana,420475.33,2020
20,"Biden, Joseph R Jr",Massachusetts,30291335.54,2020
21,"Biden, Joseph R Jr",Maryland,3017389.27,2020
22,"Biden, Joseph R Jr",Maine,254401.09,2020
23,"Biden, Joseph R Jr",Michigan,1037411.78,2020
24,"Biden, Joseph R Jr",Minnesota,464192.0,2020
25,"Biden, Joseph R Jr",Missouri,249538.34,2020
26,"Biden, Joseph R Jr",Mississippi,12207.25,2020
27,"Biden, Joseph R Jr",Montana,67750.93,2020
28,"Biden, Joseph R Jr",North Carolina,1289090.56,2020
