,state,naics,num_employees,annual_payroll
339716,55,44,309187,9013898
340578,55,48,111609,5076792
341027,55,51,54591,4297006
341309,55,52,145598,12741175
341608,55,53,28178,1292404
341859,55,54,114960,8692403
342298,55,55,77585,7056859
342341,55,56,145588,5345612
342756,55,61,57865,2271506
342925,55,62,415712,21059236
343421,55,71,45281,1189589
343689,55,72,244731,3554424
343875,55,81,103625,3066679
344314,55,99,205,4982
344329,56,11,172,8133
344394,56,21,15318,1276218
344494,56,22,2642,252204
344539,56,23,18822,1087199
344853,56,31,10468,765714
345269,56,42,7501,455788
345618,56,44,29895,956609
346261,56,48,9840,535543
346521,56,51,3816,206553
346683,56,52,7031,488780
346880,56,53,4621,232304
347073,56,54,10800,688465
347372,56,55,802,53258
347406,56,56,7270,280514
347661,56,61,2045,68434
347764,56,62,33216,1784676
348124,56,71,5265,114653
348267,56,72,28422,567153
348409,56,81,8183,279950
348705,56,99,137,5269
