,state,year,college,value,quater_avg,halfYear_avg,swingIndex
164,Hawaii,1988,4,3.0,3.066666666666664,3.0500000000000003,9.61255196031785
165,Idaho,1988,4,5.8,5.899999999999998,6.0,26.575645701266104
166,Illinois,1988,24,6.4,6.499999999999997,6.6000000000000005,2.098553992717722
167,Indiana,1988,12,5.1,5.166666666666663,5.1833333333333345,20.25198224986402
168,Iowa,1988,8,4.4,4.499999999999998,4.566666666666666,10.296962280165012
169,Kansas,1988,7,4.5,4.5,4.5,13.455003404372956
170,Kentucky,1988,9,7.1,7.23333333333333,7.383333333333334,11.707535623577103
171,Louisiana,1988,10,10.0,10.199999999999996,10.4,10.382584647899462
172,Maine,1988,4,3.7,3.7999999999999954,3.8000000000000007,11.542037406936622
173,Maryland,1988,10,4.0,4.099999999999995,4.150000000000001,2.9288604622340175
174,Massachusetts,1988,13,3.5,3.43333333333333,3.3666666666666676,7.965177866373918
175,Michigan,1988,20,7.2,7.266666666666662,7.316666666666667,7.956099920110282
176,Minnesota,1988,10,4.3,4.3,4.3,7.101719850488086
177,Mississippi,1988,7,8.7,8.7,8.600000000000001,21.042165910365583
178,Missouri,1988,11,5.8,5.8,5.8,3.9938233619544405
179,Montana,1988,4,6.2,6.333333333333325,6.516666666666668,5.976379442768565
180,Nebraska,1988,5,3.2,3.2666666666666573,3.350000000000001,21.108170988342824
181,Nevada,1988,4,4.9,4.99999999999999,5.100000000000001,21.637178329171324
182,New Hampshire,1988,4,2.5,2.5,2.4666666666666677,26.467265454267764
183,New Jersey,1988,16,3.8,3.8,3.7500000000000013,13.80231522707036
184,New Mexico,1988,5,6.9,7.033333333333325,7.266666666666667,5.019831480970716
185,New York,1988,36,4.5,4.433333333333325,4.316666666666667,6.844105278375867
186,North Carolina,1988,13,3.6,3.6666666666666585,3.6333333333333346,16.315075737100017
187,North Dakota,1988,3,4.6,4.6,4.6,13.190711455735338
188,Ohio,1988,23,5.7,5.799999999999991,5.883333333333334,10.948129300501497
189,Oklahoma,1988,8,6.2,6.266666666666656,6.283333333333334,16.779624544883344
190,Oregon,1988,7,5.4,5.49999999999999,5.633333333333334,4.767361595195907
191,Pennsylvania,1988,25,4.9,4.99999999999999,5.050000000000001,2.339093990675478
192,Rhode Island,1988,4,3.1,3.1,3.0000000000000004,11.755741106621254
193,South Carolina,1988,8,4.4,4.433333333333322,4.5166666666666675,24.144291128836638
194,South Dakota,1988,3,4.0,4.0,4.0,6.384757617171799
195,Tennessee,1988,11,5.7,5.799999999999987,5.816666666666667,16.43728100394154
196,Texas,1988,29,7.1,7.1666666666666545,7.25,12.692665862274543
197,Utah,1988,5,4.7,4.733333333333321,4.816666666666667,34.775749663801456
198,Vermont,1988,3,3.2,3.133333333333319,3.033333333333333,3.563426153448901
199,Virginia,1988,12,4.0,4.0,3.983333333333333,20.717892115164815
200,Washington,1988,10,6.0,6.0999999999999845,6.183333333333334,1.6154235091716318
201,West Virginia,1988,6,9.5,9.599999999999985,9.75,4.753786395241155
202,Wisconsin,1988,11,4.1,4.166666666666651,4.233333333333333,3.646932589122076
203,Wyoming,1988,3,6.4,6.4,6.383333333333334,22.849752845154626
204,Alabama,1992,9,7.4,7.433333333333334,7.5,7.642252919805981
205,Alaska,1992,3,8.4,8.566666666666665,8.75,13.14852407734034
206,Arizona,1992,8,7.3,7.333333333333333,7.466666666666668,2.6038079660238855
207,Arkansas,1992,6,6.6,6.766666666666667,6.8999999999999995,19.984534132245034
208,California,1992,54,9.8,9.766666666666666,9.633333333333333,17.033457538758157
209,Colorado,1992,8,6.1,6.133333333333333,6.166666666666667,5.604131045649963
210,Connecticut,1992,8,7.3,7.333333333333332,7.366666666666667,8.250233414853358
211,District of Columbia,1992,3,8.7,8.7,8.666666666666666,80.59413923878544
212,Delaware,1992,3,4.9,5.033333333333332,5.15,10.39598540945057
213,Florida,1992,25,8.1,8.266666666666666,8.366666666666667,2.3936821791619822
214,Georgia,1992,13,6.2,6.2,6.466666666666668,0.6842569021932698
215,Hawaii,1992,4,4.6,4.533333333333331,4.416666666666667,13.439955461642604
216,Idaho,1992,4,6.4,6.499999999999997,6.55,19.322966042313162
217,Illinois,1992,22,7.2,7.299999999999997,7.566666666666667,17.176436424493602
218,Indiana,1992,12,5.9,6.0333333333333306,6.166666666666667,7.6697890678775416
219,Iowa,1992,7,4.4,4.4,4.416666666666667,7.465058227124266
220,Kansas,1992,6,4.7,4.7,4.6833333333333345,7.082111175235162
221,Kentucky,1992,8,6.7,6.799999999999996,6.850000000000001,3.73755538953211
222,Louisiana,1992,9,7.7,7.8333333333333295,7.9333333333333345,5.33027572083129
223,Maine,1992,4,7.0,7.06666666666666,7.133333333333334,12.111745729096612
224,Maryland,1992,10,6.3,6.399999999999996,6.483333333333334,16.59980007843531
225,Massachusetts,1992,12,8.4,8.566666666666663,8.700000000000001,24.18445734240313
226,Michigan,1992,18,8.2,8.566666666666661,8.91666666666667,9.230319293942246
227,Minnesota,1992,10,5.0,5.033333333333328,5.066666666666667,15.442680448972723
228,Mississippi,1992,7,7.5,7.699999999999993,7.9333333333333345,9.856978934768401
229,Missouri,1992,11,6.1,6.066666666666659,6.116666666666668,13.01393220062712
230,Montana,1992,3,6.5,6.599999999999992,6.666666666666668,3.4481142497506
231,Nebraska,1992,5,2.9,2.9,2.9,22.623460864663127
