,year,state,demRatio
820,1984,Maryland,0.4724247280785537
826,1984,Massachusetts,0.48601669762740624
830,1984,Michigan,0.40453675001831424
840,1984,Minnesota,0.5009089076819495
852,1984,Mississippi,0.3768496494105839
860,1984,Missouri,0.39975249332122964
862,1984,Montana,0.38698601236313
865,1984,Nebraska,0.28995246326707
870,1984,Nevada,0.3268431844521708
873,1984,New Hampshire,0.31065547745594313
878,1984,New Jersey,0.39478608918503655
887,1984,New Mexico,0.39650401870811797
895,1984,New York,0.47058282129711104
904,1984,North Carolina,0.3797213705011314
908,1984,North Dakota,0.3426541761685233
918,1984,Ohio,0.40529316280931676
927,1984,Oklahoma,0.3089017415230104
930,1984,Oregon,0.43895288660662635
933,1984,Pennsylvania,0.4629926852287835
939,1984,Rhode Island,0.48170269755074707
948,1984,South Carolina,0.3588122058587622
953,1984,South Dakota,0.3670048675643214
957,1984,Tennessee,0.4181815190554701
967,1984,Texas,0.36213694826986587
971,1984,Utah,0.24879978990318252
979,1984,Vermont,0.41335089272220904
988,1984,Virginia,0.3732431206078015
991,1984,Washington,0.4315364898363371
1001,1984,West Virginia,0.44727565675401576
1006,1984,Wisconsin,0.45377984290378265
1017,1984,Wyoming,0.28599600237928097
1020,1988,Alabama,0.40254431601911095
1025,1988,Alaska,0.37836682565746604
1031,1988,Arizona,0.39256508469007495
1036,1988,Arkansas,0.42808357286884896
1042,1988,California,0.4819268946362411
1047,1988,Colorado,0.4604617561850285
1053,1988,Connecticut,0.4741884954356701
1058,1988,Delaware,0.4375881040413072
1061,1988,District of Columbia,0.8524575260565678
1071,1988,Florida,0.38747928354148414
1076,1988,Georgia,0.3979638365523965
1080,1988,Hawaii,0.5480627598015892
1086,1988,Idaho,0.3671217714936695
1090,1988,Illinois,0.4895072300364114
1095,1988,Indiana,0.3987400887506799
1097,1988,Iowa,0.5514848114008251
1108,1988,Kansas,0.4327249829781352
1111,1988,Kentucky,0.44146232188211454
1116,1988,Louisiana,0.4480870767605027
1122,1988,Maine,0.4422898129653169
1127,1988,Maryland,0.48535569768882997
1131,1988,Massachusetts,0.5398258893318696
1137,1988,Michigan,0.46021950039944864
1141,1988,Minnesota,0.5355085992524404
1154,1988,Mississippi,0.39478917044817213
1158,1988,Missouri,0.4800308831902278
1161,1988,Montana,0.4701181027861572
1165,1988,Nebraska,0.39445914505828594
1169,1988,Nevada,0.39181410835414343
1173,1988,New Hampshire,0.3676636727286612
1177,1988,New Jersey,0.43098842386464825
1188,1988,New Mexico,0.4749008425951464
1195,1988,New York,0.5342205263918793
1206,1988,North Carolina,0.4184246213144999
1210,1988,North Dakota,0.4340464427213233
1216,1988,Ohio,0.4452593534974925
1223,1988,Oklahoma,0.41610187727558334
1226,1988,Oregon,0.5238368079759795
1232,1988,Pennsylvania,0.4883045300466226
1238,1988,Rhode Island,0.5587787055331063
1248,1988,South Carolina,0.37927854435581687
1252,1988,South Dakota,0.468076211914141
1255,1988,Tennessee,0.4178135949802923
1259,1988,Texas,0.43653667068862734
1264,1988,Utah,0.32612125168099276
1273,1988,Vermont,0.48218286923275555
1283,1988,Virginia,0.3964105394241759
1286,1988,Washington,0.5080771175458582
1293,1988,West Virginia,0.5237689319762058
1296,1988,Wisconsin,0.5182346629456104
1301,1988,Wyoming,0.38575123577422693
1305,1992,Alabama,0.46178873540097015
1311,1992,Alaska,0.4342573796132983
1321,1992,Arizona,0.48698096016988063
1328,1992,Arkansas,0.5999226706612252
1332,1992,California,0.5851672876937908
1339,1992,Colorado,0.5280206552282498
1348,1992,Connecticut,0.5412511670742668
1353,1992,Delaware,0.5519799270472528
1358,1992,District of Columbia,0.9029706961939273
1369,1992,Florida,0.48803158910419014
1373,1992,Georgia,0.5034212845109663
1378,1992,Hawaii,0.567199777308213
1386,1992,Idaho,0.40338516978843425
1390,1992,Illinois,0.585882182122468
1400,1992,Indiana,0.4616510546606123
1405,1992,Iowa,0.5373252911356213
1420,1992,Kansas,0.4645894441238242
1424,1992,Kentucky,0.5186877769476606
1432,1992,Louisiana,0.5266513786041565
1443,1992,Maine,0.5605587286454831
1450,1992,Maryland,0.5829990003921766
1455,1992,Massachusetts,0.6209222867120157
1466,1992,Michigan,0.5461515964697112
