,year,state,manuRatio,voteRate,demRatio,swingIndex
75,2004,Florida,0.005087966008447993,56.1,0.4747632042433121,0.0252367957566879
76,2008,Florida,0.1108695652173913,56.5,0.514196600308993,0.0141966003089929
77,2012,Florida,0.08203592814371256,53.9,0.5044225213936623,0.0044225213936622
78,2016,Florida,0.0703883495145631,52.9428,0.4938116452722452,0.0061883547277548
79,2020,Florida,0.054940711462450595,56.4,0.4830524533785844,0.0169475466214156
80,1992,Georgia,0.6261764705882353,54.1,0.5034212845109663,0.0034212845109663
81,1996,Georgia,0.6164921465968587,49.6,0.4936773080144583,0.0063226919855416
82,2000,Georgia,0.5957345971563981,49.0,0.4401624637709734,0.0598375362290266
83,2004,Georgia,0.5187793427230047,52.6,0.4164576730359044,0.0835423269640955
84,2008,Georgia,0.5214446952595937,59.6,0.4737166448918821,0.0262833551081179
85,2012,Georgia,0.4160320641282565,58.1,0.4604335090194327,0.0395664909805673
86,2016,Georgia,0.3531147540983607,55.6772,0.4733882740069678,0.0266117259930321
87,2020,Georgia,0.32492753623188403,60.9,0.5011932966290864,0.0011932966290864
88,1992,Hawaii,0.06077170418006431,55.2,0.567199777308213,0.067199777308213
89,1996,Hawaii,0.05423302598491199,43.1,0.6427615180824882,0.1427615180824881
90,2000,Hawaii,0.04751869476546567,39.7,0.5982729628042934,0.0982729628042934
91,2004,Hawaii,0.03828996282527881,46.2,0.5440444800293027,0.0440444800293027
92,2008,Hawaii,0.03694944066094438,46.8,0.7299372587845542,0.2299372587845541
93,2012,Hawaii,0.025548804513862024,47.4,0.7170384850107442,0.2170384850107442
94,2016,Hawaii,0.02580192707397401,43.2748,0.6744133745053545,0.1744133745053545
95,2020,Hawaii,0.02425722206016137,59.7,0.6503266464651488,0.1503266464651488
96,1992,Iowa,0.23936526058198404,70.8,0.5373252911356213,0.0373252911356213
97,1996,Iowa,0.23406311274462271,61.1,0.5573338892373273,0.0573338892373272
98,2000,Iowa,0.1983165429839262,64.1,0.5016277918751817,0.0016277918751816
99,2004,Iowa,0.1355272443865871,68.8,0.4966332073728708,0.0033667926271291
100,2008,Iowa,0.11894054282036455,66.9,0.5484877778946735,0.0484877778946735
101,2012,Iowa,0.09227175121434082,66.7,0.5295935192810017,0.0295935192810017
102,2016,Iowa,0.08841817939998269,60.7381,0.4493645215487965,0.0506354784512034
103,2020,Iowa,0.08366011415501773,68.5,0.4581673691536295,0.0418326308463705
104,1992,Idaho,0.08000614742636257,66.9,0.4033851697884342,0.0966148302115658
105,1996,Idaho,0.3990757855822551,60.1,0.3920097242428407,0.1079902757571593
106,2000,Idaho,0.3394736842105263,53.9,0.2915150954425599,0.2084849045574401
107,2004,Idaho,0.23669991687448047,58.7,0.306772618166357,0.193227381833643
108,2008,Idaho,0.18486707566462168,58.8,0.3697541019497945,0.1302458980502054
109,2012,Idaho,0.14500306560392398,60.2,0.3357861315642467,0.1642138684357533
110,2016,Idaho,0.13064394888499123,58.2953,0.3168982331919441,0.1831017668080559
111,2020,Idaho,0.10886589571921283,61.6,0.3412285707492213,0.1587714292507787
112,1992,Illinois,0.029759077027485578,65.1,0.585882182122468,0.085882182122468
113,1996,Illinois,0.0287020974609683,55.6,0.5960509218545778,0.0960509218545777
114,2000,Illinois,0.028920863309352517,56.8,0.5618001031583959,0.0618001031583959
115,2004,Illinois,0.01937395192845165,61.0,0.5520863404955345,0.0520863404955345
116,2008,Illinois,0.018650635930047694,57.1,0.6273426404455936,0.1273426404455936
117,2012,Illinois,0.013906317146540611,56.2,0.585775233921169,0.085775233921169
118,2016,Illinois,0.011879238678626121,58.8256,0.5902005139071148,0.0902005139071148
119,2020,Illinois,0.01076244486452426,62.7,0.5865904373280693,0.0865904373280692
120,1992,Indiana,0.014237989182309896,63.0,0.4616510546606123,0.0383489453393877
121,1996,Indiana,0.014966650007568447,55.8,0.4685159364495435,0.0314840635504565
122,2000,Indiana,0.014654858713796464,58.5,0.4199521746741806,0.0800478253258193
